Address,Postal_Code,County,Price_euro,Not_Full_Market_Price,Description_of_Property,Property_Size_Description,Day,Month,Year,DoS_yyyymmdd,Income_Indices,Income_Per_Person_euro
"NO 29 SHIP STREET, DROGHEDA, CO. LOUTH",Unknown,Louth,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,18,1,2021,2021-01-18,87.35712112,29104.06999
"Bridge Street, Louisburgh",Unknown,Mayo,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,8,2013,2013-08-16,83.97517994,21573.5278
"SHANNOWOOD, REDHILLS, COUNTY CAVAN",Unknown,Cavan,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,28,11,2018,2018-11-28,80.69126288,24671.44895
"11 AN RATH BHEAG, ABBEYLARA, LONGFORD",Unknown,Longford,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,4,10,2016,2016-10-04,80.04906276,22408.36691
"Ground Adjacent to, 9 Palmerstown Lawn, Palmerstown",Dublin 20,Dublin,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,17,10,2011,2011-10-17,117.6102093,29387.63815
"APT 44 BUCKINGHAM VILLAGE, DUBLIN 1, DUBLIN",Dublin 1,Dublin,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,10,6,2015,2015-06-10,121.3860474,32997.87569
"7 BRIDGE ST, BELTURBET, CAVAN",Unknown,Cavan,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,5,9,2016,2016-09-05,83.23621427,23300.5555
"20 KILTALOWN RD, JOBSTOWN, TALLAGHT DUBLIN 24",Dublin 24,Dublin,20000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,15,10,2021,2021-10-15,123.9176757,41522.06589
"346 Moness, St. Johnston, Lifford",Unknown,Donegal,20000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,12,5,2012,2012-05-12,75.26538063,19504.7773
"MAIN STREET, ELPHIN, COUNTY ROSCOMMON",Unknown,Roscommon,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,7,5,2020,2020-05-07,80.51419477,26196.92451
"Apt 47 Block B Clares Court, Main Street/Church Street",Unknown,Cavan,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,7,3,2014,2014-03-07,84.26433538,22070.03258
"2 KILTOLE, CONVOY, CO DONEGAL",Unknown,Donegal,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,12,2021,2021-12-14,71.41550905,23788.7895
"NR 4 CLARE INN SUITES, DROMOLAND, NEWMARKET ON FERGUS",Unknown,Clare,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,24,3,2017,2017-03-24,89.14211516,26392.16126
"Main Street, Castlerea",Unknown,Roscommon,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,23,8,2013,2013-08-23,81.84311288,21025.79205
"THE PRESBYTERY, CROSS STREET, NEW ROSS",Unknown,Wexford,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,10,2015,2015-10-08,90.34716947,24560.19229
"Ardaneer, Foynes, Co. Limerick",Unknown,Limerick,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,20,1,2010,2010-01-20,99.71623725,25410.63336
"Drumbawn, Ardagh, County Longford",Unknown,Longford,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,15,11,2013,2013-11-15,84.87861352,21805.62316
"90 Thornberry Drive, Athlone",Unknown,Westmeath,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,28,2,2012,2012-02-28,88.51816938,22939.19417
"14 Richmond Street, Longford",Unknown,Longford,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,29,4,2011,2011-04-29,84.52009908,21119.30676
"FLAT 3, AN SEAN SCHILLAIN, COOTEHILL",Unknown,Cavan,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,4,7,2017,2017-07-04,82.55732554,24442.61329
"SQUARE VIEW, BROSNA WEST, CO. KERRY.",Unknown,Kerry,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,17,10,2014,2014-10-17,84.84641486,22222.4875
"Apt 2 Hazel Court, Upper Main Street, Ballyhaunis",Unknown,Mayo,20000.0,No,New Dwelling house /Apartment,greater than or equal to 125 sq metres,18,12,2015,2015-12-18,80.22447756,21808.41533
"MAIN ST, KILLENAULE, THURLES",Unknown,Tipperary,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,24,6,2015,2015-06-24,90.24713667,24532.99913
"3 BLOCK E HAWTHORN, DRUMGEELY, SHANNON",Unknown,Clare,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,29,7,2016,2016-07-29,88.45751594,24762.16966
"45 GLEN COURT, EMLY, TIPPERARY",Unknown,Tipperary,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,19,12,2019,2019-12-19,83.31231368,26503.22958
"MOUNT DELVIN, CLOONFAD, COUNTY ROSCOMMON",Unknown,Roscommon,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,15,6,2021,2021-06-15,79.78536979,26551.51879
"BREASHWYANTEEAN, KINCON, BALLINA",Unknown,Mayo,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,9,6,2014,2014-06-09,83.23957412,21801.63297
"Kiltoghert, Carrick on shannon",Unknown,Leitrim,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,9,8,2011,2011-08-09,91.07249157,22756.57397
"LISMANANAGH, POLES, CO. CAVAN",Unknown,Cavan,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,7,7,2020,2020-07-07,80.12035849,26052.14604
"3 CASTLE VIEW, BALLINTUBBER, CO ROSCOMMON",Unknown,Roscommon,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,3,2018,2018-03-16,79.18237538,24210.10482
"BELMONT, CLOGHANS HILL, TUAM",Unknown,Galway,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,12,12,2018,2018-12-12,91.05341986,27839.69069
"BEHY, BOYLE, COUNTY ROSCOMMON",Unknown,Roscommon,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,7,12,2020,2020-12-07,80.51419477,26196.92451
"5 CLUAIN BUI, CARRICK ON SHANNON, CO. LEITRIM",Unknown,Leitrim,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,29,11,2018,2018-11-29,82.03144145,25081.21014
"BALLYGOLOGUE RD, LISTOWEL, KERRY",Unknown,Kerry,20000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,19,12,2016,2016-12-19,86.16519196,24120.47274
"Fortwilliam, Ardfert",Unknown,Kerry,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,2,10,2013,2013-10-02,83.60517658,21478.4726
"40 RAILWAY LOUGH, BELTURBET, CO. CAVAN",Unknown,Cavan,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,23,11,2016,2016-11-23,83.23621427,23300.5555
"28 Willowbrook Retirement Village, Mocklershill",Unknown,Tipperary,20000.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20,12,2017,2017-12-20,90.26349033,26724.16498
"APARTMENT OVER PAULINES SHOP, CHAPEL STREET, KILTIMAGH",Unknown,Mayo,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,31,3,2016,2016-03-31,80.36872919,22497.85207
"APT 58 BLOCK C WESTEND GATE, COOKSTOWN WAY, TALLAGHT",Unknown,Dublin,20000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,29,10,2015,2015-10-29,121.3860474,32997.87569
"MULLAC NA SI, BISHOPS STREET, BALLYSHANNON",Unknown,Donegal,20000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,1,2,2016,2016-02-01,69.47650061,19448.75885
"67 ST JOHNS ST, ENNISCORTHY, WEXFORD",Unknown,Wexford,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,18,12,2020,2020-12-18,82.53998428,26840.0561
"4A ST BRIDGETS TERRAACE, THURLES, TIPPERARY",Unknown,Tipperary,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,26,6,2020,2020-06-26,82.46228901,26823.89705
"WEST END, KILFINNANR, CO LIMERICK",Unknown,Limerick,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,5,2015,2015-05-14,104.4601497,28396.69884
"104 Millpark, Clondalkin",Dublin 22,Dublin,20000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,10,5,2010,2010-05-10,114.6838254,29224.81553
"APT 10 BURRIN ARCADE, BURRIN ST, CARLOW",Unknown,Carlow,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,15,7,2015,2015-07-15,95.65904663,26004.18578
"RABOWS, CLONES, CO MONAGHAN",Unknown,Monaghan,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,10,12,2014,2014-12-10,80.63113512,21118.44555
"6 SILVEROE DRIVE, BOYLE, CO ROSCOMMON",Unknown,Roscommon,20000.0,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,22,11,2017,2017-11-22,80.82572797,23929.94201
"DERRY NA SLIEVE, KILMACKRANNY, VIA BOYLE",Unknown,Sligo,20000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,14,10,2013,2013-10-14,90.57423389,23268.84866
"60 SHANNON VALLEY, SLIGO ROAD, BALLAGHADERREEN",Unknown,Roscommon,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,27,11,2017,2017-11-27,80.82572797,23929.94201
"28 CHARLESLAND COURT, GREYSTONES, WICKLOW",Unknown,Wicklow,20000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,29,1,2016,2016-01-29,102.1790448,28603.27714
"1 NEWBRIDGE STREET, BIRR, CO. OFFALY",Unknown,Offaly,20000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,4,8,2016,2016-08-04,78.74897094,22044.42843
"CAHERLANE, ABBEYFEALE, CO LIMERICK",Unknown,Limerick,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,29,7,2014,2014-07-29,106.2192943,27820.3498
"DERRYGOLAGH, CLOONLOO, BOYLE",Unknown,Roscommon,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,20,3,2020,2020-03-20,80.51419477,26196.92451
"61 CATHAL BRUGHA PLACE, DUNGARVAN, CO. WATERFORD",Unknown,Waterford,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,1,2014,2014-01-16,96.14880924,25182.74597
"Broomhill, Mitchelstown",Unknown,Cork,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,4,2013,2013-04-08,100.9859374,25943.65299
"Kilmore, Clondra",Unknown,Longford,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,19,4,2013,2013-04-19,84.87861352,21805.62316
"42 Westside Apartments, Lr Main Street, letterkenny",Unknown,Donegal,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,12,7,2012,2012-07-12,75.26538063,19504.7773
"COILBEE, LISTOWEL, COUNTY KERRY",Unknown,Kerry,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,12,2016,2016-12-14,86.16519196,24120.47274
"Pound Street, Carndonagh",Unknown,Donegal,20000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,26,9,2015,2015-09-26,71.6171107,19468.56797
"3 TIVOLI HEIGHTS, SILVERSPRINGS, CLONMEL",Unknown,Tipperary,20000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,3,10,2017,2017-10-03,90.26349033,26724.16498
"THE COACHOUSE, 288 BANNOW RD, CABRA",Dublin 7,Dublin,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,5,2014,2014-05-14,120.6112462,31589.80748
"Brackloon, Doocastle",Unknown,Mayo,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,13,8,2013,2013-08-13,83.97517994,21573.5278
"ABBEY ST, LOUGHREA, GALWAY",Unknown,Galway,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,10,8,2016,2016-08-10,92.06370489,25771.66062
"APT 2 OLD STONE HOUSE, CASTLEREA ROAD, BALLINLOUGH",Unknown,Roscommon,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,9,2015,2015-09-08,79.32921101,21565.04391
"23 THE SQUARE, HIGHFIELD PARK, BALLINCOLLIG",Unknown,Cork,20000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,29,9,2017,2017-09-29,98.94301186,29293.89683
"9 ROGANS LANE, ARDEE, COUNTY LOUTH",Unknown,Louth,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,25,10,2016,2016-10-25,89.38559664,25021.96999
"9 the plains, ballinagare",Unknown,Roscommon,22700.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,27,1,2014,2014-01-27,81.98302029,21472.52358
"CLOONKEEN, DUNMORE, GALWAY",Unknown,Galway,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,18,12,2015,2015-12-18,90.412496,24577.95081
"CARRIGLEIGH, INCHIGEELA, CO. CORK",Unknown,Cork,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,28,7,2017,2017-07-28,98.94301186,29293.89683
"ANNAGHEARLY, KILCLARE, CARRICK ON SHANNON",Unknown,Leitrim,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,28,1,2020,2020-01-28,81.14469894,26378.8963
"CULLYLEENAN, BALLYCONNELL, COUNTY CAVAN",Unknown,Cavan,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,24,12,2021,2021-12-24,79.16602373,26311.79455
"MAIN STREET, GOLDEN, CO TIPPERARY",Unknown,Tipperary,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,29,10,2021,2021-10-29,81.62093703,27148.44433
"UNIT 2, MAIN STREET, ROCKCORRY",Unknown,Monaghan,22700.0,No,New Dwelling house /Apartment,less than 38 sq metres,27,6,2013,2013-06-27,79.76356859,20491.54959
"181 CRATLOE WOOD STUDENT VILLAGE, OLD CRATLOE RD, LIMERICK",Unknown,Limerick,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,9,2015,2015-09-08,104.4601497,28396.69884
"APARTMENT 1 POST OFFICE BUILDING, MAIN STREET, BRUFF",Unknown,Limerick,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,21,12,2017,2017-12-21,108.4820304,32118.09855
"100 CLANCY PARK, DRUMBIGGLE, ENNIS",Unknown,Clare,20000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,30,8,2017,2017-08-30,89.14211516,26392.16126
"Cloonageeher, Newtownforbes",Unknown,Longford,20000.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,1,11,2016,2016-11-01,80.04906276,22408.36691
"No 1 The Downs, Lakepoint, Mullingar",Unknown,Westmeath,20000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,22,9,2010,2010-09-22,89.92394441,22915.26882
"Newcastle, Aughrim, Ballinasloe",Unknown,Galway,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,12,2011,2011-12-16,92.84967445,23200.64433
"DETROIT, BALLYMORE, BOYLE",Unknown,Roscommon,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,18,1,2017,2017-01-18,80.82572797,23929.94201
"THE COTTAGE, LEITRIM LOWER, ESLINBRIDGE",Unknown,Leitrim,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,17,11,2020,2020-11-17,81.14469894,26378.8963
"LACKADOTIA, MILLSTREET, CORK",Unknown,Cork,20000.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,2,2016,2016-02-16,98.91884037,27690.63863
"Bayview, Binghamstown, Ballina",Unknown,Mayo,20350.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,5,4,2013,2013-04-05,83.97517994,21573.5278
"Apt 18 Block B, Farnham Court, Farnham Road",Unknown,Cavan,20507.36,No,Second-Hand Dwelling house /Apartment,Unknown,31,1,2014,2014-01-31,84.26433538,22070.03258
"DRUMCROW, STRADONE, CO CAVAN",Unknown,Cavan,21000.0,No,Second-Hand Dwelling house /Apartment,Unknown,28,7,2016,2016-07-28,83.23621427,23300.5555
"Apt 5 JC Conneelys Bar, The Square, Clifden",Unknown,Galway,23835.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,23,12,2013,2013-12-23,91.40722728,23482.84767
"17 EAST, SINGLAND RD, GARRYOWEN",Unknown,Limerick,21250.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,31,8,2018,2018-08-31,108.2158455,33087.12259
"18 GLASSAN LODGE, PROSPECT WOOD, LONGFORD",Unknown,Longford,21500.0,No,Second-Hand Dwelling house /Apartment,Unknown,20,12,2013,2013-12-20,84.87861352,21805.62316
"APARTMENT 221, CRATLOE WOOD STUDENT VILLAGE, OLD CRATLOE ROAD",Unknown,Limerick,21850.0,No,Second-Hand Dwelling house /Apartment,Unknown,13,7,2015,2015-07-13,104.4601497,28396.69884
"APARTMENT 230, CRATLOE WOOD STUDENT VILLAGE, OLD CRATLOE ROAD",Unknown,Limerick,21850.0,No,Second-Hand Dwelling house /Apartment,Unknown,13,7,2015,2015-07-13,104.4601497,28396.69884
"APARTMENT 229, CRATLOE WOOD STUDENT VILLAGE, OLD CRATLOE ROAD",Unknown,Limerick,21850.0,No,Second-Hand Dwelling house /Apartment,Unknown,13,7,2015,2015-07-13,104.4601497,28396.69884
"3 RIVERVIEW, LARAGH RD, STRADONE",Unknown,Cavan,22000.0,No,Second-Hand Dwelling house /Apartment,Unknown,15,8,2018,2018-08-15,80.69126288,24671.44895
"10 DRUMCONG ANGLING VILLAGE, DRUMCONG, CO LEITRIM",Unknown,Leitrim,24970.0,No,New Dwelling house /Apartment,Unknown,12,1,2019,2019-01-12,82.21186399,26153.15563
"CLOGHANS HILL, TUAM, CO GALWAY",Unknown,Galway,22000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,4,9,2020,2020-09-04,89.61251364,29161.30477
"5 MILL VIEW, MARKET SQUARE, CHARLESTOWN",Unknown,Mayo,22027.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,4,2015,2015-04-16,80.22447756,21808.41533
"Apt 61 Block 4, Hampton Court, Cootehill Road",Unknown,Cavan,22050.0,No,Second-Hand Dwelling house /Apartment,Unknown,19,12,2013,2013-12-19,84.08393033,21601.46617
"21 Scramogue Manor, Scramogue",Unknown,Roscommon,25310.5,No,New Dwelling house /Apartment,greater than or equal to 125 sq metres,22,12,2013,2013-12-22,81.84311288,21025.79205
"APT 1, HYDE PLACE, HYDE ST",Unknown,Leitrim,22500.0,No,Second-Hand Dwelling house /Apartment,Unknown,27,5,2016,2016-05-27,82.35226461,23053.1089
"11 ABBEYCOURT APT, TRALEE, CO KERRY",Unknown,Kerry,23154.0,No,Second-Hand Dwelling house /Apartment,Unknown,20,6,2017,2017-06-20,85.65692567,25360.30687
"5 Mourne Road, Drimnagh, Dublin",Dublin 13,Dublin,23500.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,14,3,2011,2011-03-14,117.6102093,29387.63815
"APT 1, 2 GARDINER PL, DUBLIN 1",Dublin 1,Dublin,23572.0,No,Second-Hand Dwelling house /Apartment,Unknown,5,2,2016,2016-02-05,121.9729259,34144.23583
"APT 8, 2 GARDINER PL, DUBLIN 1",Dublin 1,Dublin,23572.0,No,Second-Hand Dwelling house /Apartment,Unknown,5,2,2016,2016-02-05,121.9729259,34144.23583
"BRIDGE ST, BOYLE, ROSCOMMON",Unknown,Roscommon,24000.0,No,Second-Hand Dwelling house /Apartment,Unknown,19,12,2019,2019-12-19,81.24967744,25847.06581
"15 RIVERSIDE APT, CASTLEREA, ROSCOMMON",Unknown,Roscommon,24000.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,12,2015,2015-12-22,79.32921101,21565.04391
"GLENVILLE HOUSE, MAIN ST, ROOSKEY",Unknown,Roscommon,24000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,2,2014,2014-02-14,81.98302029,21472.52358
"CROHAN, NEWCASTLE, CLONMEL",Unknown,Tipperary,24000.0,No,Second-Hand Dwelling house /Apartment,Unknown,10,3,2020,2020-03-10,82.46228901,26823.89705
"35 Tir na gCapall, Ballybrit",Unknown,Galway,27579.44445,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,13,6,2014,2014-06-13,91.09733125,23859.69176
"THATCHED COTTAGE, MOOREMOUNT, DUNLEER",Unknown,Louth,24800.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,11,7,2019,2019-07-11,88.50637394,28155.55881
"47 Pella Road, Kilrush",Unknown,Clare,25000.0,No,Second-Hand Dwelling house /Apartment,Unknown,26,3,2014,2014-03-26,87.58297144,22939.23074
"Traceytown West, Taghmon",Unknown,Wexford,25000.0,No,Second-Hand Dwelling house /Apartment,Unknown,12,8,2011,2011-08-12,86.92586788,21720.44389
"CRUSH, CARRICKROE, MONAGHAN",Unknown,Monaghan,25000.0,No,Second-Hand Dwelling house /Apartment,Unknown,6,4,2018,2018-04-06,79.02169118,24160.97543
"1 AN CORRAN, CRINKLE, BIRR",Unknown,Offaly,25000.0,No,Second-Hand Dwelling house /Apartment,Unknown,1,3,2017,2017-03-01,76.51711325,22654.29745
"CLOONINSHIN, MEELICK, SWINFORD",Unknown,Mayo,25000.0,No,Second-Hand Dwelling house /Apartment,Unknown,20,11,2018,2018-11-20,79.23998574,24227.71925
"BALLURE, KILTIMAGH, CO MAYO",Unknown,Mayo,25000.0,No,Second-Hand Dwelling house /Apartment,Unknown,3,12,2015,2015-12-03,80.22447756,21808.41533
"231 Dalton Park, Mullingar",Unknown,Westmeath,25000.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,7,2013,2013-07-16,87.82808054,22563.35192
