Address,Postal_Code,County,Price_euro,Not_Full_Market_Price,VAT_Exclusive,Description_of_Property,Property_Size_Description,Day,Month,Year,DoS_yyyymmdd,Income_Indices,Income_Per_Person_euro,num_Postal_Code,num_County
"26 LOWER BELADD, STRADBALLY RD, PORTLAOISE",,Laois,190000.0,No,No,Second-Hand Dwelling house /Apartment,,25,6,2019,2019-06-25,72.81363723,23163.40116,-1,10
"22 DROM ARD, BELMULLET",,Mayo,70484.58,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,8,7,2011,2011-07-08,87.22498716,21795.18577,-1,15
"16 VALE VIEW CLOSE, THE PARK, CABINTEELY DUBLIN 18",Dublin 18,Dublin,490000.0,No,No,Second-Hand Dwelling house /Apartment,,21,4,2015,2015-04-21,121.3860474,32997.87569,9,5
"32 Furry Park Road, Killester, Dublin",,Dublin,325000.0,No,No,Second-Hand Dwelling house /Apartment,,20,6,2012,2012-06-20,119.0093179,30840.87562,-1,5
"75 HADDINGTON RD, DUBLIN",Dublin 4,Dublin,1210000.0,No,No,Second-Hand Dwelling house /Apartment,,16,3,2021,2021-03-16,123.9176757,41522.06589,15,5
"8 Templeville, Punches Cross, Ballinacurra",,Limerick,330396.47,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,28,6,2018,2018-06-28,108.2158455,33087.12259,-1,12
"64 Broadford Drive, Ballinteer, Dublin 16",,Dublin,307000.0,No,No,Second-Hand Dwelling house /Apartment,,10,9,2013,2013-09-10,120.0591077,30843.61949,-1,5
"82 MAYNOOTH PARK, MAYNOOTH, KILDARE",,Kildare,360000.0,No,No,Second-Hand Dwelling house /Apartment,,20,4,2015,2015-04-20,105.0155327,28547.6755,-1,8
"APT 83 BELGROVE PARK, MOUNT PROSPECT LAWNS, CLONTARF",Dublin 3,Dublin,340000.0,No,No,Second-Hand Dwelling house /Apartment,,26,3,2021,2021-03-26,123.9176757,41522.06589,14,5
"LAHARN NORTH, CAHERCIVEEN",,Kerry,116000.0,No,Yes,New Dwelling house /Apartment,,25,11,2020,2020-11-25,85.50174849,27883.99729,-1,7
"4 NOOREY PARK, BELGARRIFF, FOXFORD",,Mayo,227000.0,No,No,Second-Hand Dwelling house /Apartment,,1,3,2021,2021-03-01,79.52449336,26479.23549,-1,15
"20 St. MIchael's Terrace, Arklow",,Wicklow,85000.0,No,No,Second-Hand Dwelling house /Apartment,,13,7,2010,2010-07-13,96.2978103,24539.51752,-1,25
"148 Pugin House, Loreto Abbey, Rathfarnham",Dublin 14,Dublin,272500.0,No,No,Second-Hand Dwelling house /Apartment,,18,12,2015,2015-12-18,121.3860474,32997.87569,5,5
"88 ARD NA GREINE, CLONMEL, CO TIPPERARY",,Tipperary,75000.0,No,No,Second-Hand Dwelling house /Apartment,,18,12,2015,2015-12-18,90.24713667,24532.99913,-1,21
"1 WOODFIELD, OLD CHAPEL, BANDON",,Cork,210000.0,No,No,Second-Hand Dwelling house /Apartment,,25,9,2015,2015-09-25,98.45160268,26763.32095,-1,3
"32 RATHCARRIG, BALLINAMONA, FERMOY",,Cork,196000.0,No,No,Second-Hand Dwelling house /Apartment,,24,6,2020,2020-06-24,102.4934839,33427.07414,-1,3
"16 Barrack Mews, Barrack Street, Dundalk",,Louth,126651.97,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,3,3,2011,2011-03-03,91.49204308,22861.40865,-1,14
"The Bungalow, Willbrook Street, Rathfarnham",Dublin 14,Dublin,310000.0,No,No,Second-Hand Dwelling house /Apartment,,22,3,2013,2013-03-22,120.0591077,30843.61949,5,5
"17 Glenwood, Carrigaline",,Cork,256000.0,No,No,Second-Hand Dwelling house /Apartment,,14,11,2011,2011-11-14,99.84716368,24949.12928,-1,3
"9A LIAM MELLOWS ST, TUAM, GALWAY",,Galway,45000.0,No,No,Second-Hand Dwelling house /Apartment,,16,9,2014,2014-09-16,91.09733125,23859.69176,-1,6
"COAN, KNOCKANARRIGAN, DONARD",,Wicklow,95000.0,No,No,Second-Hand Dwelling house /Apartment,,17,6,2015,2015-06-17,101.496535,27591.06268,-1,25
"APARTMENT OVER MILLHOUSE, MAIN STREET, RATHANGAN",,Kildare,35000.0,No,No,Second-Hand Dwelling house /Apartment,,21,12,2018,2018-12-21,113.8570586,34811.93017,-1,8
"9 TURVEY DR, DONABATE, DUBLIN",,Dublin,330000.0,No,No,Second-Hand Dwelling house /Apartment,,25,11,2015,2015-11-25,121.3860474,32997.87569,-1,5
"21 Cooline Heights, Ballyvoloon",,Cork,202643.17,No,Yes,New Dwelling house /Apartment,,12,5,2021,2021-05-12,102.6648871,34327.05524,-1,3
"APT 307 EDGES ONE, BEACON SOUTH QUARTER, SANDYFORD DUBLIN 18",Dublin 18,Dublin,325000.0,No,No,Second-Hand Dwelling house /Apartment,,6,11,2020,2020-11-06,123.1012168,40191.10945,9,5
"13 ISLAND VIEW, MALAHIDE, DUBLIN",Dublin 5,Dublin,475000.0,No,No,Second-Hand Dwelling house /Apartment,,18,11,2016,2016-11-18,121.9729259,34144.23583,16,5
"3 The Courtyard, Mounthamilton, Carrick Road",,Louth,207500.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,18,10,2018,2018-10-18,90.09730878,27547.3586,-1,14
"54 THE CRESCENT, ST WOLSTANS ABBEY, CELBRIDGE",,Kildare,255000.0,No,No,Second-Hand Dwelling house /Apartment,,26,2,2018,2018-02-26,113.8570586,34811.93017,-1,8
"27 Willow Park, The Gallops, Latt",,Cavan,130000.0,No,No,Second-Hand Dwelling house /Apartment,,23,4,2012,2012-04-23,84.13222626,21802.59135,-1,1
"Apt 15 Beresford House, Customs House Square, IFSC",Dublin 1,Dublin,129000.0,No,No,Second-Hand Dwelling house /Apartment,,26,7,2013,2013-07-26,120.0591077,30843.61949,0,5
"3 CONVENT RD, KILDARE, KILDARE",,Kildare,131000.0,No,No,Second-Hand Dwelling house /Apartment,,19,1,2015,2015-01-19,105.0155327,28547.6755,-1,8
"Knocktown, Duncormick",,Wexford,185000.0,Yes,No,Second-Hand Dwelling house /Apartment,,25,6,2012,2012-06-25,86.07816613,22306.87531,-1,24
"17 Kylemore, Cashel Road, Clonmel",,Tipperary,127753.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,10,11,2015,2015-11-10,90.24713667,24532.99913,-1,21
"31 Castlebrook Green, Castlebrook Manor, Castletroy",,Limerick,242200.0,No,Yes,New Dwelling house /Apartment,,29,7,2019,2019-07-29,109.2395096,34751.16309,-1,12
"45 WATERVALE, ROOSKEY, ROSCOMMON",,Roscommon,110000.0,No,No,Second-Hand Dwelling house /Apartment,,5,3,2021,2021-03-05,79.78536979,26551.51879,-1,19
"4 SUMMER HILL VILLAS, UPPER STRAND, YOUGHAL",,Cork,48000.0,No,No,Second-Hand Dwelling house /Apartment,,24,9,2013,2013-09-24,100.9859374,25943.65299,-1,3
"58 EDGEWOOD LAWNS, BLANCHARDSTOWN, DUBLIN 15",Dublin 15,Dublin,195000.0,No,No,Second-Hand Dwelling house /Apartment,,27,5,2014,2014-05-27,120.6112462,31589.80748,6,5
"8 MOSS LANE, RIVERWAY, SOUTH DOUGLAS RD",,Cork,250000.0,No,No,Second-Hand Dwelling house /Apartment,,30,4,2015,2015-04-30,98.45160268,26763.32095,-1,3
"6 Bolton View, Bolton Park, Rathfarnham",Dublin 16,Dublin,682819.38,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,7,9,2017,2017-09-07,120.8404921,35777.04822,7,5
"19 THE OAKS, ROCKFIELD, DUNDRUM DUBLIN 14",Dublin 16,Dublin,365000.0,No,No,Second-Hand Dwelling house /Apartment,,21,11,2019,2019-11-21,122.2901374,38902.81574,7,5
"138 Beatty Park, Celbridge, County Kildare",,Kildare,215000.0,No,No,Second-Hand Dwelling house /Apartment,,22,10,2010,2010-10-22,104.4897558,26627.06646,-1,8
"8 ROSSECOURT HALL BALGADDY RD LUCAN, DUBLIN",,Dublin,200000.0,No,No,Second-Hand Dwelling house /Apartment,,12,9,2019,2019-09-12,122.2901374,38902.81574,-1,5
"APARTMENT 1, 7 MAIN STREET, NEWPORT",,Mayo,44250.0,No,No,Second-Hand Dwelling house /Apartment,,20,3,2015,2015-03-20,80.22447756,21808.41533,-1,15
"97 MOUNT ANVILLE PARK, GOATSTOWN, DUBLIN 14",Dublin 14,Dublin,750000.0,No,No,Second-Hand Dwelling house /Apartment,,16,11,2020,2020-11-16,123.1012168,40191.10945,5,5
"90 MOUNTRIVERS ESTATE, CARRIGALINE, CO CORK",,Cork,136000.0,No,No,Second-Hand Dwelling house /Apartment,,19,2,2016,2016-02-19,98.91884037,27690.63863,-1,3
"JOHNS COURT, JOHN ST, NEWBRIDGE",,Kildare,241000.0,No,No,Second-Hand Dwelling house /Apartment,,7,6,2017,2017-06-07,114.4367515,33881.10315,-1,8
"2  The Mews, St. Patrick's Road, Dalkey  Co. Dublin",,Dublin,495000.0,No,No,Second-Hand Dwelling house /Apartment,,30,9,2015,2015-09-30,121.3860474,32997.87569,-1,5
"Gracefield, Ballylinan",,Laois,50000.0,No,No,Second-Hand Dwelling house /Apartment,,9,5,2013,2013-05-09,89.36044662,22957.02231,-1,10
"50 Seatown, Dundalk",,Louth,82500.0,No,No,Second-Hand Dwelling house /Apartment,,8,3,2013,2013-03-08,90.23651839,23182.08832,-1,14
"40 HEATHER LANE, ESKERHILLS, PORTLAOISE",,Laois,131592.0,No,No,Second-Hand Dwelling house /Apartment,,30,11,2020,2020-11-30,71.3192998,23145.2464,-1,10
"544 NORTH CIRCULAR RD, DUBLIN 1, DUBLIN",Dublin 1,Dublin,755000.0,No,No,Second-Hand Dwelling house /Apartment,,15,12,2020,2020-12-15,123.1012168,40191.10945,0,5
"TEACH JOHNNY MHARY, MEENDERRY, FALCARRAGH",,Donegal,57500.0,No,No,Second-Hand Dwelling house /Apartment,,12,11,2014,2014-11-12,72.1836347,18905.92458,-1,4
"15 MAUGHERABOY EST, SLIGO, SLIGO",,Sligo,109000.0,No,No,Second-Hand Dwelling house /Apartment,,31,7,2020,2020-07-31,86.48527894,28169.17605,-1,20
"BALLYKNOCKAN, FENAGH, BAGENALSTOWN",,Carlow,47000.0,No,No,Second-Hand Dwelling house /Apartment,,25,2,2021,2021-02-25,87.44297161,29167.12101,-1,0
"18 SHALIMAR, MONASTERY RD, CLONDALKIN DUBLIN 22",Dublin 22,Dublin,163000.0,No,No,Second-Hand Dwelling house /Apartment,,15,12,2015,2015-12-15,121.3860474,32997.87569,12,5
"4 WHEATFIELDS, KILMONEY RD, CARRIGALINE",,Cork,500000.0,No,No,Second-Hand Dwelling house /Apartment,,30,10,2014,2014-10-30,99.86583566,26156.28826,-1,3
"Ashfield, Ballycorus Road, Rathmichael",,Dublin,995000.0,No,No,Second-Hand Dwelling house /Apartment,,3,2,2014,2014-02-03,120.6112462,31589.80748,-1,5
"11 AMBERLEY COURT, GRANGE, DOUGLAS",,Cork,260000.0,No,No,Second-Hand Dwelling house /Apartment,,25,7,2019,2019-07-25,102.3223668,32550.68859,-1,3
"'Rosebank', 12 Deerpark Road, Castleknock",Dublin 15,Dublin,940000.0,No,No,Second-Hand Dwelling house /Apartment,,16,8,2013,2013-08-16,120.0591077,30843.61949,6,5
"CLONBRIN, RATHANGAN, OFFALY",,Offaly,195000.0,No,No,Second-Hand Dwelling house /Apartment,,22,12,2014,2014-12-22,81.08086256,21236.23559,-1,18
"71 DUNLUCE RD, CLONTARF, DUBLIN 3",Dublin 3,Dublin,750000.0,No,No,Second-Hand Dwelling house /Apartment,,30,11,2017,2017-11-30,120.8404921,35777.04822,14,5
"APT 1 BURLEIGH, COURT, BURLINGTON RD DUBLIN 4",Dublin 4,Dublin,615000.0,No,No,Second-Hand Dwelling house /Apartment,,8,12,2016,2016-12-08,121.9729259,34144.23583,15,5
"CURRYKIRWAN, MAYO ABBEY, CLAREMORRIS",,Mayo,103500.0,No,No,Second-Hand Dwelling house /Apartment,,2,2,2016,2016-02-02,80.36872919,22497.85207,-1,15
"140 THE CRANNOG, GRANITEFIELD MANOR, ROCHESTOWN AVE",,Dublin,240000.0,No,No,Second-Hand Dwelling house /Apartment,,25,11,2016,2016-11-25,121.9729259,34144.23583,-1,5
"10 the view, citywest village, citywest",Dublin 24,Dublin,296920.0,No,Yes,New Dwelling house /Apartment,,15,3,2019,2019-03-15,122.2901374,38902.81574,13,5
"512 CITY CENTRAL, BEDFORD ROW, LIMERICK",,Limerick,75000.0,No,No,Second-Hand Dwelling house /Apartment,,29,10,2014,2014-10-29,106.2192943,27820.3498,-1,12
"BAY VIEW HEIGHTS, BALLYLOSKEY, CARNDONAGH",,Donegal,145000.0,No,No,Second-Hand Dwelling house /Apartment,,13,5,2019,2019-05-13,72.41234003,23035.7409,-1,4
"19 The Crescent, Bellingsmore, Kilmartin",Dublin 15,Dublin,359030.84,No,Yes,New Dwelling house /Apartment,,9,6,2021,2021-06-09,123.9176757,41522.06589,6,5
"3 CLUNY PARK, KILLINEY, CO DUBLIN",,Dublin,565000.0,No,No,Second-Hand Dwelling house /Apartment,,3,7,2019,2019-07-03,122.2901374,38902.81574,-1,5
"134 The Oval, Tullyvale, Cabinteely",,Dublin,115000.0,No,No,Second-Hand Dwelling house /Apartment,,5,4,2012,2012-04-05,119.0093179,30840.87562,-1,5
"31 ST BRIGID'S ROAD, PORTUMNA, CO GALWAY",,Galway,59340.0,Yes,No,Second-Hand Dwelling house /Apartment,,3,2,2020,2020-02-03,89.61251364,29161.30477,-1,6
"1 BOTHER BUI, NEWCASTLEWEST, CO. LIMERICK",,Limerick,70000.0,No,No,Second-Hand Dwelling house /Apartment,,2,10,2019,2019-10-02,109.2395096,34751.16309,-1,12
"CORRYMEELA, MILLBROOK RD, OLDCASTLE",,Meath,287000.0,No,No,Second-Hand Dwelling house /Apartment,,30,7,2021,2021-07-30,99.69809961,33245.70711,-1,16
"15 ST BRIGIDS ROAD, EDENDERRY, CO OFFALY",,Offaly,62000.0,No,No,Second-Hand Dwelling house /Apartment,,16,11,2016,2016-11-16,78.74897094,22044.42843,-1,18
"33 Summercove, Lahinch",,Clare,79500.0,No,No,Second-Hand Dwelling house /Apartment,,26,7,2013,2013-07-26,87.65362981,22518.53489,-1,2
"52 Clearstream Court, McKee Avenue, Finglas Dublin 11",Dublin 11,Dublin,89868.0,No,No,Second-Hand Dwelling house /Apartment,,12,12,2013,2013-12-12,120.0591077,30843.61949,2,5
"FREYNESTOWN STUD, DUNLAVIN, WICKLOW",,Wicklow,744000.0,No,No,Second-Hand Dwelling house /Apartment,,14,12,2020,2020-12-14,102.4319249,33436.55561,-1,25
"2 HAWTHORN HILL, NEWTOWNCUNNINGHAM, DONEGAL",,Donegal,210000.0,No,No,Second-Hand Dwelling house /Apartment,,21,12,2020,2020-12-21,71.91219733,23409.2373,-1,4
"Woodside, Bird Avenue, Clonskeagh",Dublin 14,Dublin,685000.0,No,No,Second-Hand Dwelling house /Apartment,,30,8,2013,2013-08-30,120.0591077,30843.61949,5,5
"61 Marian Park, Drogheda",,Louth,60000.0,Yes,No,Second-Hand Dwelling house /Apartment,,26,10,2010,2010-10-26,94.6730957,24125.49241,-1,14
"10 FERNHILL, WESTPORT, CO. MAYO",,Mayo,190000.0,No,No,Second-Hand Dwelling house /Apartment,,25,2,2019,2019-02-25,80.78251551,25698.45272,-1,15
"BARNHILL, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,330000.0,No,No,Second-Hand Dwelling house /Apartment,,28,11,2018,2018-11-28,122.3417314,37406.12892,6,5
"5 TICKNOCK WAY, TICKNOCK HILL, SANDYFORD DUBLIN 18",Dublin 18,Dublin,530000.0,No,No,Second-Hand Dwelling house /Apartment,,7,9,2018,2018-09-07,122.3417314,37406.12892,9,5
"8 SLI NA COILLE, BELTURBET, CO CAVAN",,Cavan,185022.02,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,28,5,2018,2018-05-28,80.69126288,24671.44895,-1,1
"2 dodderbrook glade, oldcourt road, ballycullen",Dublin 24,Dublin,387665.0,No,Yes,New Dwelling house /Apartment,,19,12,2018,2018-12-19,122.3417314,37406.12892,13,5
"CARRAIGOIR, BALLAGHBOY, CO CLARE",,Clare,365000.0,No,No,Second-Hand Dwelling house /Apartment,,10,8,2021,2021-08-10,88.94796907,29651.38888,-1,2
"38 Barley Field  Wicklow Hills, Newtownmountkennedy",,Wicklow,198237.0,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,24,4,2017,2017-04-24,105.057589,31104.22975,-1,25
"42 KILLEEN HEIGHTS, OAKPARK, TRALEE",,Kerry,95000.0,No,No,Second-Hand Dwelling house /Apartment,,6,1,2016,2016-01-06,86.16519196,24120.47274,-1,7
"7 ST BRENDANS TERRACE, COOLOCK, DUBLIN 5",,Dublin,338000.0,No,No,Second-Hand Dwelling house /Apartment,,27,4,2018,2018-04-27,122.3417314,37406.12892,-1,5
"FORT ETNA CROSSING COTTAGE, PATRICKSWELL, LIMERICK",,Limerick,50000.0,No,No,Second-Hand Dwelling house /Apartment,,26,10,2016,2016-10-26,108.8402222,30467.95989,-1,12
"6 Bridgegate Drive, Bridgegate, Ardee",,Louth,220264.31,No,Yes,New Dwelling house /Apartment,,17,11,2020,2020-11-17,87.92986994,28625.88609,-1,14
"62 LEACAN FIONN THOIR, DUNGARVAN, WATERFORD",,Waterford,145000.0,No,No,Second-Hand Dwelling house /Apartment,,27,9,2016,2016-09-27,90.09594264,25220.81921,-1,22
"44 BANGOR RD, CRUMLIN, DUBLIN 12",Dublin 12,Dublin,330000.0,No,No,Second-Hand Dwelling house /Apartment,,22,6,2021,2021-06-22,123.9176757,41522.06589,3,5
"15 Englewood Drive, Shercock, County Cavan",,Cavan,125000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,14,6,2011,2011-06-14,85.29015233,21311.72242,-1,1
"7 ADELAIDE ST, DUNLAOIGHRE, DUBLIN",,Dublin,735000.0,No,No,Second-Hand Dwelling house /Apartment,,14,7,2015,2015-07-14,121.3860474,32997.87569,-1,5
"No. 5 Beechpark Wood, Beechpark, Leixlip",,Kildare,145374.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,10,5,2010,2010-05-10,104.4897558,26627.06646,-1,8
"12 AVONVALE HALL, BALLYNERRIN, WICKLOW",,Wicklow,672000.0,No,No,Second-Hand Dwelling house /Apartment,,10,11,2017,2017-11-10,105.057589,31104.22975,-1,25
"TALBOTS INCH, FRESHFORD ROAD, KILKENNY",,Kilkenny,360000.0,No,No,Second-Hand Dwelling house /Apartment,,26,2,2015,2015-02-26,93.50656162,25419.04907,-1,9
"44 SHELBOURNE PARK, ENNIS RD, LIMERICK",,Limerick,266000.0,No,No,Second-Hand Dwelling house /Apartment,,8,10,2020,2020-10-08,110.2827876,36028.55853,-1,12
"5 OLDE MILL STONE, BALLINA, MAYO",,Mayo,172500.0,No,No,Second-Hand Dwelling house /Apartment,,22,1,2021,2021-01-22,79.52449336,26479.23549,-1,15
"THE BRAMBLES, NEWTOWNBOND, EDGEWORTHSTOWN",,Longford,95000.0,No,No,Second-Hand Dwelling house /Apartment,,19,6,2018,2018-06-19,72.87930501,22282.93361,-1,13
"47 ROKEBY PARK, Lucan, County Dublin",,Dublin,691056.0,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,28,11,2017,2017-11-28,120.8404921,35777.04822,-1,5
"60  Rathbawn, Ballinasloe",,Galway,123348.0,No,Yes,New Dwelling house /Apartment,,5,3,2019,2019-03-05,90.37404068,28749.69908,-1,6
"50 Hillcourt Road, Glenageary",,Dublin,435000.0,No,No,Second-Hand Dwelling house /Apartment,,30,11,2012,2012-11-30,119.0093179,30840.87562,-1,5
"APT 30, SOUTH BAY, ROSSLARE",,Wexford,225000.0,No,No,Second-Hand Dwelling house /Apartment,,14,5,2021,2021-05-14,81.57245941,27113.90239,-1,24
"24 THE FASTNET, LANCASTER GATE, WESTERN ROAD",,Cork,300000.0,No,No,Second-Hand Dwelling house /Apartment,,14,12,2018,2018-12-14,101.6747702,31087.1811,-1,3
"8 ST JOHNS GREEN, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,260000.0,No,No,Second-Hand Dwelling house /Apartment,,3,6,2021,2021-06-03,123.9176757,41522.06589,12,5
"56 RADHARC NA COILLE, BALLYCASEY, SHANNON",,Clare,220000.0,No,No,Second-Hand Dwelling house /Apartment,,25,10,2019,2019-10-25,89.8789254,28592.1935,-1,2
"174A CHERRYWOOD PARK, CLONDALKIN, DUBLIN 24",Dublin 22,Dublin,265000.0,No,No,Second-Hand Dwelling house /Apartment,,22,10,2021,2021-10-22,123.9176757,41522.06589,12,5
"COOKSTOWN LANE, BATTERSTOWN, MEATH",,Meath,900000.0,No,No,Second-Hand Dwelling house /Apartment,,19,10,2018,2018-10-19,103.6349247,31686.50065,-1,16
"Tawnytaskin, Boyle",,Roscommon,50000.0,No,No,Second-Hand Dwelling house /Apartment,,31,10,2013,2013-10-31,81.84311288,21025.79205,-1,19
"15 BEECHWOOD RD, RANELAGH, DUBLIN",Dublin 6,Dublin,875000.0,No,No,Second-Hand Dwelling house /Apartment,,1,4,2016,2016-04-01,121.9729259,34144.23583,17,5
"43 MONASTERY AVENUE, MONASTERY HILL, CORK",,Cork,168000.0,No,No,Second-Hand Dwelling house /Apartment,,7,1,2011,2011-01-07,99.84716368,24949.12928,-1,3
"16 Ferns Dale, Ferns Bridge, Monasterevan",,Kildare,168000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,1,10,2010,2010-10-01,104.4897558,26627.06646,-1,8
"25 Apartments at Block P7, Belmayne, Balgriffin",,Dublin,3189537.44,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,13,3,2015,2015-03-13,121.3860474,32997.87569,-1,5
"54 SMITHFIELD GATE, RED COW LANE, DUBLIN 7",,Dublin,190000.0,No,No,Second-Hand Dwelling house /Apartment,,22,1,2014,2014-01-22,120.6112462,31589.80748,-1,5
"ROGANS LANE, ARDEE, LOUTH",,Louth,137500.0,No,No,Second-Hand Dwelling house /Apartment,,16,9,2016,2016-09-16,89.38559664,25021.96999,-1,14
"Doonwood, Mountbellew",,Galway,148018.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20,4,2015,2015-04-20,90.412496,24577.95081,-1,6
"140 ARDLEIGH VALE, MULLINGAR, WESTMEATH",,Westmeath,169950.0,No,No,Second-Hand Dwelling house /Apartment,,28,6,2019,2019-06-28,75.88279203,24139.75761,-1,23
"69 BEECH PK, BALLINCOLLIG, CORK",,Cork,252500.0,No,No,Second-Hand Dwelling house /Apartment,,23,2,2021,2021-02-23,102.6648871,34327.05524,-1,3
"27 Glendoher Drive, Rathfarnham, Dublin 16",Dublin 16,Dublin,442500.0,No,No,Second-Hand Dwelling house /Apartment,,20,8,2014,2014-08-20,120.6112462,31589.80748,7,5
"18 CUL DAIRE, LISSYCASEY, CLARE",,Clare,260000.0,No,No,Second-Hand Dwelling house /Apartment,,17,8,2021,2021-08-17,88.94796907,29651.38888,-1,2
"128 SHANTALLA RD, BEAUMONT, DUBLIN 9",Dublin 9,Dublin,460000.0,No,No,Second-Hand Dwelling house /Apartment,,29,11,2018,2018-11-29,122.3417314,37406.12892,21,5
"Tardis  Baytown, The Ward  County Dublin",,Dublin,350000.0,No,No,Second-Hand Dwelling house /Apartment,,5,7,2010,2010-07-05,114.6838254,29224.81553,-1,5
"6 PARK PLACE, MARY ST, TRALEE",,Kerry,80000.0,No,No,Second-Hand Dwelling house /Apartment,,2,11,2018,2018-11-02,83.74417175,25604.87945,-1,7
