Address,Postal_Code,County,Price_euro,Not_Full_Market_Price,Description_of_Property,Property_Size_Description,Day,Month,Year,DoS_yyyymmdd,Income_Indices,Income_Per_Person_euro,num_Postal_Code,num_County
"3 COIRCEOG, FIDDOWN, KILKENNY",Unknown,Kilkenny,120000.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,6,2015,2015-06-08,93.50656162,25419.04907,22,9
"12 BELMONT SQ, RAHENY, DUBLIN 5",Dublin 5,Dublin,395000.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,6,2017,2017-06-08,120.8404921,35777.04822,16,5
"2 CALTRAGHLEA, KILLURE, BALLINASLOE",Unknown,Galway,320000.00455,No,New Dwelling house /Apartment,Unknown,19,7,2021,2021-07-19,88.85740352,29578.80337,22,6
"31 ARD RIADHA, GLEISHALL, CO OFFALLY",Unknown,Offaly,170000.0,No,Second-Hand Dwelling house /Apartment,Unknown,21,12,2015,2015-12-21,80.14106676,21785.74073,22,18
"26 KNOCKRABO DRIVE, MOUNT ANVILLE ROAD, DUBLIN 14",Dublin 14,Dublin,800000.21,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,9,7,2018,2018-07-09,122.3417314,37406.12892,5,5
"82 The Drive, Broadale, Douglas",Unknown,Cork,230000.0,No,Second-Hand Dwelling house /Apartment,Unknown,27,6,2014,2014-06-27,99.86583566,26156.28826,22,3
"BARRACKS, FOYNES, LIMERICK",Unknown,Limerick,60000.0,No,Second-Hand Dwelling house /Apartment,Unknown,5,2,2021,2021-02-05,111.3360294,37352.90892,22,12
"BELGROVE, COBH, CO CORK",Unknown,Cork,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,19,5,2021,2021-05-19,102.6648871,34327.05524,22,3
"15 MAUGHERABOY EST, SLIGO, SLIGO",Unknown,Sligo,109000.0,No,Second-Hand Dwelling house /Apartment,Unknown,31,7,2020,2020-07-31,86.48527894,28169.17605,22,20
"KILLANLEY, CASTLECONOR, BALLINA",Unknown,Sligo,300000.0,No,Second-Hand Dwelling house /Apartment,Unknown,30,7,2021,2021-07-30,86.11087792,28716.55387,22,20
"3 THE BRACKEN, CORK RD, NEWCASTLEWEST",Unknown,Cork,170000.0,No,Second-Hand Dwelling house /Apartment,Unknown,5,12,2016,2016-12-05,98.91884037,27690.63863,22,3
"APARTMENT 1008 RIVERPOINT, BISHOPS QUAY",Unknown,Limerick,150000.0,No,Second-Hand Dwelling house /Apartment,Unknown,12,7,2010,2010-07-12,99.71623725,25410.63336,22,12
"KNOCKANANIG, FERMOY, CORK",Unknown,Cork,230000.0,No,Second-Hand Dwelling house /Apartment,Unknown,20,12,2019,2019-12-20,102.3223668,32550.68859,22,3
"Apt 27 The Barley Store, Baker's Yard, Portland Street North",Dublin 1,Dublin,184092.0,No,Second-Hand Dwelling house /Apartment,Unknown,3,10,2014,2014-10-03,120.6112462,31589.80748,0,5
"BALLINTOHER RD, BENEDINE, NENAGH",Unknown,Tipperary,270000.0,No,Second-Hand Dwelling house /Apartment,Unknown,3,5,2018,2018-05-03,86.68234561,26503.22958,22,21
"65 Rahoonane, Tralee",Unknown,Kerry,50000.0,No,Second-Hand Dwelling house /Apartment,Unknown,20,8,2010,2010-08-20,84.16817185,21448.52849,22,7
"2 ABBEY STREET, ARKLOW, CO. WICKLOW",Unknown,Wicklow,50000.0,No,Second-Hand Dwelling house /Apartment,Unknown,6,1,2015,2015-01-06,101.496535,27591.06268,22,25
"PRIVATE HOUSE 39, THE GLEN KILNACOURT WOOD, PORTARLINGTON LAOIS",Unknown,Laois,170000.0,No,Second-Hand Dwelling house /Apartment,Unknown,21,5,2020,2020-05-21,71.3192998,23145.2464,22,10
"1 THE GARDENS, CLOGHERHEAD, LOUTH",Unknown,Louth,130000.0,No,Second-Hand Dwelling house /Apartment,Unknown,17,4,2014,2014-04-17,88.7353646,23241.05897,22,14
"BARR ROAD, ROSSINVER, CO LEITRIM",Unknown,Leitrim,44000.0,No,Second-Hand Dwelling house /Apartment,Unknown,2,8,2019,2019-08-02,82.21186399,26153.15563,22,11
"APT 2 OLD WATERFORD ROAD, CARRICKBEG, CARRICK ON SUIR",Unknown,Tipperary,36000.0,No,Second-Hand Dwelling house /Apartment,Unknown,25,7,2017,2017-07-25,90.26349033,26724.16498,22,21
"14 CARRICK HILL, DUBLIN RD, PORTLAOISE",Unknown,Laois,410000.0,No,Second-Hand Dwelling house /Apartment,Unknown,23,12,2021,2021-12-23,69.85563032,23127.10588,22,10
"25 THE GREENS, LITTLE ISLAND, CORK",Unknown,Cork,220000.0,No,Second-Hand Dwelling house /Apartment,Unknown,19,4,2021,2021-04-19,102.6648871,34327.05524,22,3
"BALLYCAMPION, BRUFF, CO LIMERICK",Unknown,Limerick,250000.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,12,2020,2020-12-22,110.2827876,36028.55853,22,12
"34 DUN NA RIOGH GREEN, MONREAD, NAAS",Unknown,Kildare,206000.0,No,Second-Hand Dwelling house /Apartment,Unknown,5,7,2021,2021-07-05,107.7075719,36026.93033,22,8
"INISHMORE, BUTLERS BRIDGE, CAVAN",Unknown,Cavan,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,5,5,2016,2016-05-05,83.23621427,23300.5555,22,1
"No. 8 Ard Aoibheann, Tawnalary, Donegal Town",Unknown,Donegal,198625.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,18,1,2016,2016-01-18,69.47650061,19448.75885,22,4
"38 JUGBACK GREEN, APPLEWOOD VILLAGE, SWORDS",Unknown,Dublin,191000.0,No,Second-Hand Dwelling house /Apartment,Unknown,18,4,2018,2018-04-18,122.3417314,37406.12892,22,5
"NO 4 WESTMANSTOWN COTTAGES, LUCAN, COUNTY DUBLIN",Unknown,Dublin,552500.0,No,Second-Hand Dwelling house /Apartment,Unknown,2,10,2017,2017-10-02,120.8404921,35777.04822,22,5
"5 FRENCH COURT, CLONROAD, ENNIS",Unknown,Clare,171000.0,No,Second-Hand Dwelling house /Apartment,Unknown,7,2,2020,2020-02-07,89.41223561,29116.97526,22,2
"24 Davis Road, Shantalla",Unknown,Galway,150000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,29,4,2010,2010-04-29,98.69005065,25149.13081,22,6
"14 Crescent Avenue, Friary Walk, Callan",Unknown,Kilkenny,244025.0,No,New Dwelling house /Apartment,Unknown,6,12,2019,2019-12-06,87.53158408,27845.45964,22,9
"12 GREGG RD, GILLABBEY ST, CORK",Unknown,Cork,221000.0,No,Second-Hand Dwelling house /Apartment,Unknown,23,2,2018,2018-02-23,101.6747702,31087.1811,22,3
"West Street, Rinemackaderrig, Carrigaholt",Unknown,Clare,86000.0,No,Second-Hand Dwelling house /Apartment,Unknown,19,12,2012,2012-12-19,90.2579926,23390.06367,22,2
"54 ALLENDALE SQ, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,265000.0,No,Second-Hand Dwelling house /Apartment,Unknown,12,2,2021,2021-02-12,123.9176757,41522.06589,6,5
"40 THE PARK, HUNTERS RUN, CLONEE DUBLIN 15",Dublin 15,Dublin,310000.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,7,2015,2015-07-16,121.3860474,32997.87569,6,5
"APT 315, THE EDGES 1, BEACON SOUTH QUARTER DUBLIN 18",Dublin 18,Dublin,396000.0,No,Second-Hand Dwelling house /Apartment,Unknown,6,9,2019,2019-09-06,122.2901374,38902.81574,9,5
"YOUNGROVE LODGE, SHANBALLARD, BALLYCLERIHAN",Unknown,Tipperary,430000.0,No,Second-Hand Dwelling house /Apartment,Unknown,4,9,2020,2020-09-04,82.46228901,26823.89705,22,21
"11 EMBASSY COURT, PRINCE OF WALES TERRACE, BALLSBRIDGE DUBLIN 4",Dublin 4,Dublin,1100000.0,No,Second-Hand Dwelling house /Apartment,Unknown,27,9,2016,2016-09-27,121.9729259,34144.23583,15,5
"30 Kirvin Hill, Rathnew",Unknown,Wicklow,237337.50055,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,24,1,2017,2017-01-24,105.057589,31104.22975,22,25
"5 ASHMOUNT, CHURCH ROAD, RAHEEN",Unknown,Limerick,312000.0,No,Second-Hand Dwelling house /Apartment,Unknown,29,11,2021,2021-11-29,111.3360294,37352.90892,22,12
"3 BURLEIGH MEWS, MAIN ST, CHARLESTOWN",Unknown,Mayo,95000.0,No,Second-Hand Dwelling house /Apartment,Unknown,29,9,2021,2021-09-29,79.52449336,26479.23549,22,15
"MUNNY, GOREY, GOREY",Unknown,Wexford,50400.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,12,2,2018,2018-02-12,83.40947072,25502.54421,22,24
"53 BAUNOGE, MOUNT PLEASANT, LOUGHREA",Unknown,Galway,225000.0,No,Second-Hand Dwelling house /Apartment,Unknown,3,12,2021,2021-12-03,88.85740352,29578.80337,22,6
"APT 3, 12 MEATH ST, DUBLIN 8",Dublin 8,Dublin,150000.0,No,Second-Hand Dwelling house /Apartment,Unknown,25,8,2016,2016-08-25,121.9729259,34144.23583,20,5
"26 Kenure Gate, Park Road, Rush",Unknown,Dublin,339999.465,No,New Dwelling house /Apartment,Unknown,8,8,2019,2019-08-08,122.2901374,38902.81574,22,5
"Ballythomas House, Ballythomas, Gorey",Unknown,Wexford,170000.0,No,Second-Hand Dwelling house /Apartment,Unknown,31,12,2012,2012-12-31,86.07816613,22306.87531,22,24
"8 The Drive, Grange Manor, Lucan",Unknown,Dublin,327000.0,No,Second-Hand Dwelling house /Apartment,Unknown,9,4,2010,2010-04-09,114.6838254,29224.81553,22,5
"Apt 2 Hazel Court, Upper Main Street, Ballyhaunis",Unknown,Mayo,20000.0,No,New Dwelling house /Apartment,greater than or equal to 125 sq metres,18,12,2015,2015-12-18,80.22447756,21808.41533,22,15
"DERRAVARAGH LODGE, COOLE, CASTLEPOLLARD",Unknown,Westmeath,625000.0,No,Second-Hand Dwelling house /Apartment,Unknown,20,10,2016,2016-10-20,85.71374307,23994.09734,22,23
"14 Ring Fort Drive, Kinsale Manor, Kinsale",Unknown,Cork,397618.875,No,New Dwelling house /Apartment,Unknown,16,12,2020,2020-12-16,102.4934839,33427.07414,22,3
"88 BRU NA HABHAINN, SLANE RD, NAVAN",Unknown,Meath,185000.0,No,Second-Hand Dwelling house /Apartment,Unknown,15,9,2020,2020-09-15,100.1450409,32617.34424,22,16
"APT 10, LONG QUAY APTS, LONG QUAY",Unknown,Cork,125000.0,No,Second-Hand Dwelling house /Apartment,Unknown,30,3,2017,2017-03-30,98.94301186,29293.89683,22,3
"CLONFAD, KINNEGAD, WESTMEATH",Unknown,Westmeath,245000.0,No,Second-Hand Dwelling house /Apartment,Unknown,31,10,2019,2019-10-31,75.88279203,24139.75761,22,23
"33 HOLLYGROVE, BROOMFIELD, MIDLETON",Unknown,Cork,130000.0,No,Second-Hand Dwelling house /Apartment,Unknown,12,4,2021,2021-04-12,102.6648871,34327.05524,22,3
"28 FINGLAS PLACE, FINGLAS, DUBLIN 11",Dublin 11,Dublin,303000.0,No,Second-Hand Dwelling house /Apartment,Unknown,23,6,2020,2020-06-23,123.1012168,40191.10945,2,5
"59 Bridgemeadows, Milehouse Road, Enniscorthy",Unknown,Wexford,111230.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,13,4,2015,2015-04-13,90.34716947,24560.19229,22,24
"370 Market Mews, Maryborough Village, Portlaoise",Unknown,Laois,64999.18,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,28,6,2013,2013-06-28,89.36044662,22957.02231,22,10
"Apt 33  Castlemartin Close, Bettystown",Unknown,Meath,170000.3,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20,1,2011,2011-01-20,98.11595213,24516.54593,22,16
"28 Forest Close, Kingswood Heights, Tallaght",Unknown,Dublin,240000.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,2,2011,2011-02-22,117.6102093,29387.63815,22,5
"63 GLENTOW RD, LARKHILL ESTATE LARKHILL, WHITEHALL DUBLIN 9",Dublin 9,Dublin,280000.0,No,Second-Hand Dwelling house /Apartment,Unknown,21,2,2019,2019-02-21,122.2901374,38902.81574,21,5
"APT 105, RIVERPOINT, BISHOPS QUAY",Unknown,Limerick,145161.29,No,Second-Hand Dwelling house /Apartment,Unknown,1,11,2019,2019-11-01,109.2395096,34751.16309,22,12
"MEADOW HAVEN, CORTOBER, ARVA",Unknown,Cavan,124950.0,No,Second-Hand Dwelling house /Apartment,Unknown,26,5,2021,2021-05-26,79.16602373,26311.79455,22,1
"CHURCHVIEW, BALLYARRA, CASTLEYONS FERMOY",Unknown,Cork,160000.0,No,Second-Hand Dwelling house /Apartment,Unknown,7,9,2018,2018-09-07,101.6747702,31087.1811,22,3
"GORTNALICKY, CLONDROHID, MACROOM",Unknown,Cork,250000.0,No,Second-Hand Dwelling house /Apartment,Unknown,18,2,2020,2020-02-18,102.4934839,33427.07414,22,3
"38 Innisfallen, Rockery Road, Killarney",Unknown,Kerry,264693.35,No,New Dwelling house /Apartment,Unknown,14,12,2018,2018-12-14,83.74417175,25604.87945,22,7
"25 Ridgewood Avenue, Swords",Unknown,Dublin,235000.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,8,2012,2012-08-16,119.0093179,30840.87562,22,5
"HALLSTOWN, DUNSHAUGHLIN, CO MEATH",Unknown,Meath,365000.0,No,Second-Hand Dwelling house /Apartment,Unknown,23,7,2014,2014-07-23,97.67184865,25581.65174,22,16
"SEQUOIA, NEW STREET, ABBEYFEALE",Unknown,Limerick,152000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,11,2019,2019-11-14,109.2395096,34751.16309,22,12
"Carrowbeg, Killasser, Swinford",Unknown,Mayo,25850.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,23,1,2013,2013-01-23,83.97517994,21573.5278,22,15
"APT.30 - BALTRASNA HOUSE, SPENCER DOCK, DUBLIN 1",Dublin 1,Dublin,270000.0,No,Second-Hand Dwelling house /Apartment,Unknown,12,11,2014,2014-11-12,120.6112462,31589.80748,0,5
"5 ELM GARDENS, BALLA, MAYO",Unknown,Mayo,135000.0,No,Second-Hand Dwelling house /Apartment,Unknown,21,6,2019,2019-06-21,80.78251551,25698.45272,22,15
"HILLCREST, TINMORE, NEWCASTLE",Unknown,Wicklow,395000.0,No,Second-Hand Dwelling house /Apartment,Unknown,9,12,2019,2019-12-09,101.8452264,32398.90117,22,25
"57 DOORADOYLE PARK, DOORADOYLE, LIMERICK",Unknown,Limerick,180000.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,9,2021,2021-09-16,111.3360294,37352.90892,22,12
"1 LOUGHSILLAN LODGE, SHERCOCK, CO CAVAN",Unknown,Cavan,137000.0,No,Second-Hand Dwelling house /Apartment,Unknown,5,1,2021,2021-01-05,79.16602373,26311.79455,22,1
"DRAIOCHT, RADEERPARK, CLONES",Unknown,Monaghan,139000.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,12,2017,2017-12-08,81.09450753,24009.51914,22,17
"Dangan, Kilmacow",Unknown,Kilkenny,45000.0,No,Second-Hand Dwelling house /Apartment,Unknown,24,8,2012,2012-08-24,87.77798945,22747.37896,22,9
"FESTINA LENTE, BALLYBAWN LOWER, KILMACANOGUE",Unknown,Wicklow,635000.0,No,Second-Hand Dwelling house /Apartment,Unknown,27,11,2018,2018-11-27,103.2362037,31564.59124,22,25
"10 The Mews, Whitethorn Grove, Kill",Unknown,Kildare,238350.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,9,10,2013,2013-10-09,101.704581,26128.27512,22,8
"25 Beechlawn, Dundrum",Unknown,Dublin,399000.0,No,Second-Hand Dwelling house /Apartment,Unknown,12,10,2012,2012-10-12,119.0093179,30840.87562,22,5
"12 properties at Baker's Yard, Portland Street North",Dublin 1,Dublin,1200000.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,9,12,2014,2014-12-09,120.6112462,31589.80748,0,5
"10 ST ASSAM'S ROAD WEST, RAHENY, DUBLIN 5",Dublin 5,Dublin,326990.0,No,Second-Hand Dwelling house /Apartment,Unknown,31,7,2013,2013-07-31,120.0591077,30843.61949,16,5
"5 ROSLYN COURT, BISHOPSTOWN, CORK",Unknown,Cork,140000.0,No,Second-Hand Dwelling house /Apartment,Unknown,13,10,2016,2016-10-13,98.91884037,27690.63863,22,3
"16 Ferns Dale, Ferns Bridge, Monasterevan",Unknown,Kildare,190680.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,1,10,2010,2010-10-01,104.4897558,26627.06646,22,8
"28 Longfield Park, Boherlahan, Cashel",Unknown,Tipperary,215650.0,No,New Dwelling house /Apartment,Unknown,10,12,2020,2020-12-10,82.46228901,26823.89705,22,21
"6  Riverside Villas, Kenmare",Unknown,Kerry,167980.0,No,New Dwelling house /Apartment,greater than or equal to 125 sq metres,14,9,2011,2011-09-14,85.53677189,21373.34604,22,7
"34 The Crescent, Collegewood, Mallow",Unknown,Cork,119175.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,22,11,2013,2013-11-22,100.9859374,25943.65299,22,3
"BALLYMURPHY RD, TULLOW, CARLOW",Unknown,Carlow,155000.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,1,2018,2018-01-22,87.36220568,26711.0976,22,0
"6 White Pines Meadow, White Pines, Stocking Avenue",Dublin 16,Dublin,499949.9983,No,New Dwelling house /Apartment,Unknown,6,8,2020,2020-08-06,123.1012168,40191.10945,7,5
"10 Belfry, Kilbarrack Road, Kilbarrack",Dublin 5,Dublin,174000.0,No,Second-Hand Dwelling house /Apartment,Unknown,17,10,2012,2012-10-17,119.0093179,30840.87562,16,5
"23 ABBEYGARTH, BAYLOUGH, ATHLONE",Unknown,Westmeath,132500.0,No,Second-Hand Dwelling house /Apartment,Unknown,3,6,2016,2016-06-03,85.71374307,23994.09734,22,23
"14 ARD MACHA, OLD BAWN, TALLAGHT",Unknown,Dublin,295000.0,No,Second-Hand Dwelling house /Apartment,Unknown,7,10,2015,2015-10-07,121.3860474,32997.87569,22,5
"25 Cuirt Cheirin, Circular Road, Galway",Unknown,Galway,584156.125,No,New Dwelling house /Apartment,Unknown,12,7,2019,2019-07-12,90.37404068,28749.69908,22,6
"8 BELFIELD DOWNS, GOATSTOWN, DUBLIN 14",Dublin 14,Dublin,540000.0,No,Second-Hand Dwelling house /Apartment,Unknown,4,7,2019,2019-07-04,122.2901374,38902.81574,5,5
"25 WINDSOR TERRACE, HAROLD'S CROSS, DUBLIN 8",Dublin 8,Dublin,800000.0,No,Second-Hand Dwelling house /Apartment,Unknown,29,6,2020,2020-06-29,123.1012168,40191.10945,20,5
"APT 202, THE CUBES 3, BEACON SOUTH QUARTER DUBLIN 18",Dublin 18,Dublin,315000.0,No,Second-Hand Dwelling house /Apartment,Unknown,23,10,2020,2020-10-23,123.1012168,40191.10945,9,5
"16 GLEANN ALAINN, BALLYGARVAN, CORK",Unknown,Cork,165000.0,No,Second-Hand Dwelling house /Apartment,Unknown,17,8,2016,2016-08-17,98.91884037,27690.63863,22,3
"The Green, Annagassan, Dunleer",Unknown,Louth,80000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,17,7,2012,2012-07-17,90.39459297,23425.46321,22,14
"34 WOODLAWN DR, DOORADOYLE, LIMERICK",Unknown,Limerick,135000.0,No,Second-Hand Dwelling house /Apartment,Unknown,10,7,2014,2014-07-10,106.2192943,27820.3498,22,12
"282 BEECH PARK, LUCAN, DUBLIN",Unknown,Dublin,415000.0,No,Second-Hand Dwelling house /Apartment,Unknown,18,3,2016,2016-03-18,121.9729259,34144.23583,22,5
"63 CARNE HILL, JOHNSTOWN, NAVAN",Unknown,Meath,376000.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,6,2021,2021-06-16,99.69809961,33245.70711,22,16
"KEAKILL, HEADFORD, GALWAY",Unknown,Galway,145000.0,No,Second-Hand Dwelling house /Apartment,Unknown,13,6,2017,2017-06-13,91.30778344,27033.34715,22,6
"43 NORTHBROOK AVE, RANELAGH, DUBLIN 6",Dublin 6,Dublin,732500.0,No,Second-Hand Dwelling house /Apartment,Unknown,21,2,2018,2018-02-21,122.3417314,37406.12892,17,5
"4 BRIDGE MEADOWS, ENNISCORTHY, CO WEXFORD",Unknown,Wexford,115000.0,No,Second-Hand Dwelling house /Apartment,Unknown,25,7,2016,2016-07-25,84.26335264,23588.08533,22,24
"40 DUN AN OIR, MILFORD GRANGE, CASTLETROY",Unknown,Limerick,150000.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,12,2015,2015-12-08,104.4601497,28396.69884,22,12
"9 SUMMERSEAT WAY, CLONEE, MEATH",Unknown,Meath,199000.0,No,Second-Hand Dwelling house /Apartment,Unknown,6,5,2021,2021-05-06,99.69809961,33245.70711,22,16
"50 WOODLANDS, DUNLEER",Unknown,Louth,125000.0,No,Second-Hand Dwelling house /Apartment,Unknown,24,2,2016,2016-02-24,89.38559664,25021.96999,22,14
"APT 164, CRANN NUA, EDENDERRY RD",Unknown,Laois,103000.0,No,Second-Hand Dwelling house /Apartment,Unknown,15,9,2017,2017-09-15,82.72038948,24490.89136,22,10
"4 MOUNT EAGLE VIEW, LEOPARDSTOWN HEIGHTS, DUBLIN 18",Dublin 18,Dublin,406000.0,No,Second-Hand Dwelling house /Apartment,Unknown,10,12,2015,2015-12-10,121.3860474,32997.87569,9,5
"APT 4, 1 JERVIS ST, DUBLIN 1",Dublin 1,Dublin,100000.0,No,Second-Hand Dwelling house /Apartment,Unknown,17,6,2015,2015-06-17,121.3860474,32997.87569,0,5
"59 college hill, mullingar",Unknown,Westmeath,178000.0,No,Second-Hand Dwelling house /Apartment,Unknown,30,6,2011,2011-06-30,89.02597818,22245.20514,22,23
"11 FORTFIELD PARK, TERENURE, DUBLIN 6W",Unknown,Dublin,917000.0,No,Second-Hand Dwelling house /Apartment,Unknown,9,1,2020,2020-01-09,123.1012168,40191.10945,22,5
"37 brookhaven grove, blanchardstown",Dublin 15,Dublin,135000.0,No,Second-Hand Dwelling house /Apartment,Unknown,21,7,2011,2011-07-21,117.6102093,29387.63815,6,5
"33 ARD NA CORANN, BROOMFIELD, MIDLETON",Unknown,Cork,90600.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,1,2020,2020-01-16,102.4934839,33427.07414,22,3
"DUN MHUIRE, 224 SEAPARK, MALAHIDE",Unknown,Dublin,710000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,12,2020,2020-12-14,123.1012168,40191.10945,22,5
"THE CHALET, BALLINAKILLA, BERE ISLAND",Unknown,Cork,47000.0,No,Second-Hand Dwelling house /Apartment,Unknown,12,4,2019,2019-04-12,102.3223668,32550.68859,22,3
"8 SPENCER ST SOUTH, SOUTH CIRCULAR RD, DUBLIN 8",Dublin 8,Dublin,660000.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,6,2021,2021-06-16,123.9176757,41522.06589,20,5
"18 CLUAIN SI, CARRICK ON SHANNON, LEITRIM",Unknown,Leitrim,112000.0,No,Second-Hand Dwelling house /Apartment,Unknown,6,8,2019,2019-08-06,82.21186399,26153.15563,22,11
"CARROWCLOGHER, STROKESTOWN, CO ROSCOMMON",Unknown,Roscommon,83000.0,No,Second-Hand Dwelling house /Apartment,Unknown,20,12,2017,2017-12-20,80.82572797,23929.94201,22,19
"14 KILBARRACK GROVE, KILBARRACK, DUBLIN 5",Dublin 5,Dublin,575000.0,No,Second-Hand Dwelling house /Apartment,Unknown,9,1,2018,2018-01-09,122.3417314,37406.12892,16,5
"4 CHURCHWOOD, MUFF, DONEGAL",Unknown,Donegal,213500.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,3,2021,2021-03-08,71.41550905,23788.7895,22,4
"2 PAAL EAST, KANTURK, CORK",Unknown,Cork,130000.0,No,Second-Hand Dwelling house /Apartment,Unknown,1,10,2018,2018-10-01,101.6747702,31087.1811,22,3
"FORTLAND, EASKEY, CO SLIGO",Unknown,Sligo,130000.0,No,Second-Hand Dwelling house /Apartment,Unknown,6,8,2018,2018-08-06,83.87320897,25644.33273,22,20
"19 ARD EASMUINN, DUNDALK, LOUTH",Unknown,Louth,170000.0,No,Second-Hand Dwelling house /Apartment,Unknown,23,6,2015,2015-06-23,89.00914279,24196.45989,22,14
"48  Castleoaks, bandon",Unknown,Cork,177699.99245,No,New Dwelling house /Apartment,greater than or equal to 125 sq metres,4,6,2015,2015-06-04,98.45160268,26763.32095,22,3
"SKEHARDGANNON, DONERAILE",Unknown,Cork,75000.0,No,Second-Hand Dwelling house /Apartment,Unknown,30,1,2012,2012-01-30,99.68430933,25832.86283,22,3
"61 Marian Park, Drogheda",Unknown,Louth,60000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,26,10,2010,2010-10-26,94.6730957,24125.49241,22,14
"22 CAR NA REE, OLD SINGLAND RD, LIMERICK",Unknown,Limerick,267000.0,No,Second-Hand Dwelling house /Apartment,Unknown,24,9,2021,2021-09-24,111.3360294,37352.90892,22,12
"3 GLEBE HOLLOW, STRANORLAR, DONEGAL",Unknown,Donegal,163000.0,No,Second-Hand Dwelling house /Apartment,Unknown,12,7,2018,2018-07-12,69.36144933,21207.34508,22,4
"APT 8, 108 - 109 MAIN STREET, MALLOW",Unknown,Cork,40000.0,No,Second-Hand Dwelling house /Apartment,Unknown,23,2,2015,2015-02-23,98.45160268,26763.32095,22,3
